id,date,time,created,species_name,scientific_name,family,species type,species group,number,sex,life stage,activity,method,counting method,related species,source,location,lat,lng,modified,country division,country,validator name,last validation date,local x,local y,accuracy,notes,validation status,substrate,is certain,is escape,obscurity,embargo date,external reference,has photos,has sounds,link;
48707819,2010-06-26,,2010-06-26,Graswortelvlinder,Apamea monoglypha,Noctuidae (uilen),Soort,Nachtvlinders en micro's,1,U,onbekend,ter plaatse,,,,Site,Halle (Halle) (Dg),50.718497,4.260155,2016-10-14,Vlaams-Brabant,België,Automatische Validatie,,142331,156444,999,,A,,True,False,0,,,False,False,https://waarnemingen.be/observation/48707819/;
48707825,2010-06-26,,2010-06-26,Tweevlekspanner,Lomographa bimaculata,Geometridae (spanners),Soort,Nachtvlinders en micro's,1,U,onbekend,ter plaatse,,,,Site,Halle (Halle) (Dg),50.718497,4.260155,2010-06-26,Vlaams-Brabant,België,,,142331,156444,999,,O,,True,False,0,,,False,False,https://waarnemingen.be/observation/48707825/;
48707829,2010-06-26,,2010-06-26,Boogsnuituil,Herminia grisealis,Erebidae (spinneruilen),Soort,Nachtvlinders en micro's,1,U,onbekend,ter plaatse,,,,Site,Halle (Halle) (Dg),50.718497,4.260155,2010-06-26,Vlaams-Brabant,België,,,142331,156444,999,,O,,True,False,0,,,False,False,https://waarnemingen.be/observation/48707829/;
48707832,2010-06-26,,2010-06-26,Kleine zomervlinder,Hemithea aestivaria,Geometridae (spanners),Soort,Nachtvlinders en micro's,1,U,onbekend,ter plaatse,,,,Site,Halle (Halle) (Dg),50.718497,4.260155,2010-06-26,Vlaams-Brabant,België,,,142331,156444,999,,O,,True,False,0,,,False,False,https://waarnemingen.be/observation/48707832/;
48707837,2010-06-26,,2010-06-26,Gestippelde houtvlinder,Zeuzera pyrina,Cossidae (houtboorders),Soort,Nachtvlinders en micro's,1,U,onbekend,ter plaatse,,,,Site,Halle (Halle) (Dg),50.718497,4.260155,2010-06-26,Vlaams-Brabant,België,,,142331,156444,999,,O,,True,False,0,,,False,False,https://waarnemingen.be/observation/48707837/;
48707840,2010-06-26,,2010-06-26,Vuursteenvlinder,Habrosyne pyritoides,Drepanidae (eenstaartjes),Soort,Nachtvlinders en micro's,1,U,onbekend,ter plaatse,,,,Site,Halle (Halle) (Dg),50.718497,4.260155,2010-06-26,Vlaams-Brabant,België,,,142331,156444,999,,O,,True,False,0,,,False,False,https://waarnemingen.be/observation/48707840/;
49481540,2010-08-01,,2010-08-14,Gestreepte goudspanner,Camptogramma bilineata,Geometridae (spanners),Soort,Nachtvlinders en micro's,1,U,onbekend,ter plaatse,,,,Site,Halle (Halle) (Dg),50.718485,4.260185,2016-10-14,Vlaams-Brabant,België,Automatische Validatie,,142333,156443,999,,A,,True,False,0,,,False,False,https://waarnemingen.be/observation/49481540/;
52800514,2011-03-15,,2011-03-16,Lente-orvlinder,Achlya flavicornis,Drepanidae (eenstaartjes),Soort,Nachtvlinders en micro's,1,U,onbekend,ter plaatse,,,,,Halle (Halle) (Dg),50.718544,4.260189,2011-04-22,Vlaams-Brabant,België,Leo Janssen,2011-03-16,142334,156449,10,,J,,True,False,0,,,True,False,https://waarnemingen.be/observation/52800514/;
52800519,2011-03-15,,2011-03-16,Variabele voorjaarsuil,Orthosia incerta,Noctuidae (uilen),Soort,Nachtvlinders en micro's,1,U,onbekend,ter plaatse,,,,,Halle (Halle) (Dg),50.718544,4.260189,2011-03-16,Vlaams-Brabant,België,,,142334,156449,10,,O,,True,False,0,,,False,False,https://waarnemingen.be/observation/52800519/;
52800524,2011-03-15,,2011-03-16,Kleine voorjaarsuil,Orthosia cruda,Noctuidae (uilen),Soort,Nachtvlinders en micro's,1,U,onbekend,ter plaatse,,,,,Halle (Halle) (Dg),50.718544,4.260189,2018-01-08,Vlaams-Brabant,België,Automatische Validatie,,142334,156449,10,,A,,True,False,0,,,False,False,https://waarnemingen.be/observation/52800524/;
53185261,2011-04-01,,2011-04-04,Nunvlinder,Orthosia gothica,Noctuidae (uilen),Soort,Nachtvlinders en micro's,3,U,onbekend,ter plaatse,,,,,Halle (Halle) (Dg),50.718534,4.260191,2011-04-22,Vlaams-Brabant,België,Leo Janssen,2011-04-04,142334,156448,10,op nachtvlinderlamp,J,,True,False,0,,,True,False,https://waarnemingen.be/observation/53185261/;
